id,network_code,station_code,location_code,channels,latitude,longitude,elevation
NC.C003.01,NC,C003,01,"HNE,HNN,HNZ",37.707207,-122.083969,74.0
NC.C034.01,NC,C034,01,"HNE,HNN,HNZ",37.5728,-121.963318,15.0
NC.C035.01,NC,C035,01,"HNE,HNN,HNZ",37.969803,-122.026917,23.0
BK.PVSP.00,BK,PVSP,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",36.13,-120.25365,176.7
BK.SM2B.,BK,SM2B,,"BL1,BL2,BL3,HL1,HL2,HL3",37.838745,-122.110222,200.0
NC.AAR.,NC,AAR,,EHZ,39.275936,-121.026962,911.0
NC.BCG.,NC,BCG,,EHZ,36.709618,-121.342842,250.0
NC.BSM.02,NC,BSM,02,EHZ,36.383835,-121.42717,884.0
NC.C017.01,NC,C017,01,"HNE,HNN,HNZ",37.506489,-121.926201,34.0
NC.CCH1.,NC,CCH1,,"HN1,HN2,HN3",37.743317,-122.096573,107.0
BK.RB2B.,BK,RB2B,,"BL1,BL3,HL1,HL3",37.93335,-122.403137,-18.0
BK.RFSB.,BK,RFSB,,"BL1,BL2,BL3,BLE,BLN,BLZ,HL1,HL2,HL3,HLE,HLN,HLZ",37.91608,-122.336098,-27.3
BK.RFSB.00,BK,RFSB,00,"HNE,HNN,HNZ",37.91608,-122.336098,-27.3
BK.ROMB.S0,BK,ROMB,S0,"HNE,HNN,HNZ",38.58891,-122.03158,149.1
BK.SCOT.00,BK,SCOT,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",41.391998,-122.853798,960.0
BK.TCAS.00,BK,TCAS,00,"HNE,HNN,HNZ",35.609501,-120.560097,381.0
BK.TWIT.00,BK,TWIT,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",38.09712,-121.68321,-3.0
BK.VALB.40,BK,VALB,40,"BN1,BN2,BN3,HN1,HN2,HN3",38.121498,-122.275299,-24.5
BK.WDC.,BK,WDC,,"BHE,BHN,BHZ,BLE,BLN,BLZ,HHE,HHN,HHZ,HLE,HLN,HLZ",40.57988,-122.54113,268.3
BK.WHCL.00,BK,WHCL,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",36.288958,-119.829105,64.9
BK.YBH.50,BK,YBH,50,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNZ",41.73204,-122.710388,1059.7
NC.ARW.,NC,ARW,,EHZ,38.956333,-121.16217,320.0
NC.ASMB.,NC,ASMB,,EHZ,38.82365,-120.68499,1182.0
NC.BBG.,NC,BBG,,EHZ,36.577965,-121.039177,1065.0
NC.BKC.20,NC,BKC,20,"HNE,HNN,HNZ",36.5802,-121.62623,125.0
