id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
CI.CPE.,CI,CPE,,EHZ,32.89244,-117.10143,143.0,1972.088,2003.135
CI.CPM.,CI,CPM,,EHZ,34.15442,-116.19771,897.0,1974.305,1999.320
CI.CPO.,CI,CPO,,"BHE,HHN,HHZ,HHE,BHZ,BHN,EHZ",32.64266,-116.48514,838.0,2016.095,3000.001
CI.CPP.,CI,CPP,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.0602,-117.809,205.0,1997.038,2003.314
CI.CPT.,CI,CPT,,EHZ,33.30339,-117.34081,14.0,1975.014,1988.361
CI.CPT2.,CI,CPT2,,"BHE,HHN,HHZ,HHE,BHZ,BHN,EHZ",33.34183,-117.32502,771.0,2015.180,3000.001
CI.CRF.,CI,CRF,,EHZ,33.873521,-118.039376,18.1,2015.310,3000.001
CI.CRG.,CI,CRG,,"BHE,HHN,HHZ,HHE,BHZ,BHN,EHZ",35.2422,-119.72486,1169.0,1976.203,3000.001
CI.CRN.,CI,CRN,,EHZ,33.87574,-117.56106,204.8,1995.227,3000.001
CI.CRP.,CI,CRP,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.13624,-118.12705,233.0,2003.031,2008.309
CI.CRR.,CI,CRR,,"BHE,HHN,HHZ,HHE,BHZ,BHN,EHZ",32.88682,-115.96918,66.0,1950.099,3000.001
CI.CRS.,CI,CRS,,EHZ,34.24336,-117.26248,1430.0,1949.139,1950.243
CI.CRY.,CI,CRY,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.778248,-119.628105,1527.9,2021.218,3000.001
CI.CSH.,CI,CSH,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.6442,-116.5956,1637.0,2016.032,3000.001
CI.CSL.,CI,CSL,,EHZ,34.496513,-118.616208,353.9,2015.251,3000.001
CI.CTC.,CI,CTC,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.65516,-115.99006,538.0,2000.118,3000.001
CI.CTD.,CI,CTD,,"HHE,HHN,HHZ",33.35486,-118.44436,190.0,2007.207,2013.280
CI.CTW.,CI,CTW,,"BHE,HHN,HHZ,HHE,BHZ,BHN,EHZ",33.67728,-115.87214,504.0,1977.243,3000.001
CI.CVW.,CI,CVW,,"BHE,HHN,HHZ,HHE,BHZ,BHN,EHZ",34.92217,-118.93913,804.8,2011.265,3000.001
CI.CWC.,CI,CWC,,"BHE,HHN,HHZ,HHE,EHE,EHN,BHZ,BHN,EHZ",36.439047,-118.080495,1569.5,1965.288,3000.001
CI.CWP.,CI,CWP,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.557975,-117.55775,242.6,2018.045,3000.001
CI.CYP.,CI,CYP,,"HHN,BHE,HHZ,HHE,BHZ,BHN",32.906111,-116.627222,1013.7,2017.195,3000.001
CI.CZN.,CI,CZN,,"BHE,HHN,HHZ,HHE,BHZ,BHN,EHZ",33.91375,-116.78409,538.0,2013.302,3000.001
CI.DAH.,CI,DAH,,EHZ,32.73458,-115.55859,-42.0,1975.001,1976.153
CI.DAN.,CI,DAN,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.63745,-115.38115,428.0,1998.265,3000.001
CI.DAW.,CI,DAW,,"HHN,BHE,HHZ,HHE,BHZ,BHN",36.27148,-117.59214,1477.4,2017.058,3000.001
CI.DB2.,CI,DB2,,EHZ,33.73521,-117.06289,591.0,1975.040,1992.185
CI.DBM.,CI,DBM,,EHZ,34.97877,-118.36107,1162.0,1983.258,2001.037
CI.DEC.,CI,DEC,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.25353,-118.33383,519.0,2000.223,3000.001
CI.DEV.,CI,DEV,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.93597,-116.57794,337.0,1997.315,3000.001
CI.DGR.,CI,DGR,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.65001,-117.00947,650.0,1993.173,3000.001
CI.DHS.,CI,DHS,,EHZ,33.92638,-116.38629,396.0,1978.091,1981.071
